name,Boiling-Point,Melting-Point,Density,Dissociation Constants,Flash-Point
XACSIG_clean,,,,,
WOPDEL_clean,,,,,
ELEROD_clean,,315.0,,0.0,
VUQKAU_clean,,,,,
AFOVEX_clean,,,,,
ESIDOB_clean,,,,,
OTIQAL_clean,,,,,
TAKGUK_clean,,,,,
FALZOI_clean,277.51851851851853,42.21333333333333,0.0,0.0,
WAYMAM_clean,0.0,427.0,0.0,0.0,260.0
REYPES_clean,,,,,
QOVDEL_clean,,,,,
SAQZOB_clean,,,,,
PETVER_clean,260.0,0.0,0.0,,170.0
KORNAI_clean,260.0,0.0,0.0,,170.0
LAZPIN_clean,,200.0,,,
OKELIB_clean,,,,,
QEZZAY_clean,261.4,10.38962962962963,0.0,0.0,
IQINAZ_clean,0.0,427.0,0.0,0.0,260.0
CODSOF_clean,,,,,
NENFAN_clean,277.51851851851853,42.21333333333333,0.0,0.0,
BOLPAU_clean,,,,,
QEZZEC_clean,261.4,10.38962962962963,0.0,0.0,
MOTVOI_clean,,,,,
RUGKAH_clean,102.8425925925926,4.007936507936509,0.0,0.0,64.0925925925926
WIZMAV02_auto,,,,,
QUPHUF_clean,0.0,427.0,0.0,0.0,260.0
ECIWIW_clean,,,,,
TETWEW_clean,277.51851851851853,42.21333333333333,0.0,0.0,
VAGBEN_clean,0.0,236.5822222222222,0.0,0.0,193.0
KUNRAO_clean,260.0,0.0,0.0,,170.0
BETFAJ_clean,,,,,
GEGGUW_clean,,,,,
XEGJIE02_clean,,,,,
HOWQAM_clean,,256.0,,,
PIDMEV_clean,,,,,
FURRIU_clean,,,,,
HEDBEZ_clean,,276.0,,0.0,
VEGXOW_clean,,,,,
TIRRIW_clean,,,,,
RIFGAQ_clean,,,,,
LUYSEF_clean,0.0,427.0,0.0,0.0,260.0
LUMDEC_clean,,,,,
HADXOC_clean,,0.0,,0.0,
OSIXIY_clean,,,,,
CUQSAK_clean,,,,,
BIFKEI_clean,305.0,111.0,,,
AZAVUU_clean,,,,,
SAQQAD_clean,,,,,
KIYQEQ_clean,,254.0,,,
SABZED_clean,,,,,
